2024/09/11 21:45:22 handlers.go:34: Received request to list VM instances
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic3, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic4, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic5, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic6, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic7, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-kibana, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-parser1, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-parser2, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-parser3, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-parser4, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-parser5, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-parser6, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-parser7, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: gke-cert-manager-prod-v2-core-2-afe95a61-7sua, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: gke-cert-manager-prod-v2-core-2-afe95a61-zrnf, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: gke-prod-apm-core-1-64c650d0-0y0d, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: gke-prod-apm-core-1-64c650d0-3k33, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: gke-prod-apm-core-1-64c650d0-ii6x, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: gke-prod-apm-core-1-64c650d0-l9rf, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: gke-prod-apm-core-1-64c650d0-xwh6, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-f
